notification_id,patient_id,channel,type,message,sent_at,status
NTF0000095,PTNV196,SMS,FollowUp,Ipsa voluptatibus error vitae soluta voluptatem quia dolorum corporis reprehenderit incidunt in.,2026-04-23 19:46:26,Delivered
NTF0000096,PTNTN270,SMS,VaccinationDue,Culpa qui voluptates voluptates eligendi explicabo a repudiandae voluptate doloribus veritatis vero.,2025-11-30 04:12:06,Delivered
NTF0000097,PTNTJ162,Push,ReportReady,Consectetur ratione vero distinctio saepe illum tempora doloremque necessitatibus impedit aliquam temporibus libero.,2025-12-07 17:42:10,Delivered
NTF0000098,PTNC025,WhatsApp,ReportReady,Voluptas ad ab porro deleniti dolor in.,2025-10-22 16:54:49,Failed
NTF0000099,PTNTN241,Email,Promotion,Ut rem eaque ipsum unde optio doloremque enim beatae temporibus praesentium error.,2025-11-25 17:05:14,Delivered
NTF0000100,PTNTN279,Push,AppointmentReminder,Doloremque iure sit repudiandae placeat provident delectus ullam voluptatum.,2025-08-27 23:27:33,Delivered
NTF0000101,PTNE092,WhatsApp,ReportReady,Nesciunt eius quis praesentium ea amet itaque dolorem fuga ratione sunt.,2026-01-24 01:52:10,Delivered
NTF0000102,PTNE071,Push,FollowUp,Dignissimos reprehenderit distinctio quis delectus magni vitae nam cupiditate nobis molestiae enim.,2025-10-08 05:44:52,Delivered
NTF0000103,PTNC404,SMS,FollowUp,Nemo aut necessitatibus tempore ducimus labore ea veniam ullam accusamus.,2026-02-13 17:16:08,Delivered
NTF0000104,PTNV097,Push,Promotion,Doloribus quasi perferendis rerum rerum similique aperiam nobis reprehenderit unde autem ipsum.,2026-05-27 20:40:32,Delivered
NTF0000105,PTNCB440,Push,VaccinationDue,Mollitia saepe voluptates nostrum perspiciatis tenetur.,2026-05-17 17:36:01,Delivered
NTF0000106,PTNCB052,WhatsApp,VaccinationDue,Totam temporibus labore cupiditate possimus et nulla mollitia commodi a.,2026-01-10 23:17:30,Delivered
NTF0000107,PTNM427,Email,PaymentDue,Debitis beatae maxime quas beatae vitae.,2025-09-20 00:35:12,Delivered
NTF0000108,PTNC153,Push,VaccinationDue,Quasi ea voluptatem veritatis esse suscipit.,2025-07-01 22:03:29,Delivered
NTF0000109,PTNV004,Email,Promotion,Impedit et perferendis aspernatur aliquid enim minus.,2025-08-10 11:38:51,Delivered
NTF0000110,PTNH423,Push,AppointmentReminder,Architecto quis eveniet quisquam distinctio incidunt consectetur exercitationem impedit quidem inventore.,2025-11-19 09:40:49,Delivered
NTF0000111,PTNS369,Email,VaccinationDue,At autem corporis blanditiis ullam fugiat ad.,2025-09-02 21:06:58,Delivered
NTF0000112,PTNCB409,Email,Promotion,Culpa necessitatibus maiores molestias sed odit maiores.,2025-12-09 10:40:49,Delivered
NTF0000113,PTNTJ199,Push,ReportReady,Sint iusto iste impedit eum doloribus praesentium.,2025-09-14 06:35:14,Delivered
NTF0000114,PTNE027,SMS,VaccinationDue,Qui dicta itaque ipsum quaerat quidem.,2025-11-08 09:48:45,Delivered
NTF0000115,PTNC046,SMS,PaymentDue,Saepe pariatur provident doloremque nisi repellat vel iure.,2026-03-21 12:03:33,Delivered
NTF0000116,PTNCB056,Email,PaymentDue,Necessitatibus exercitationem voluptatum occaecati perspiciatis occaecati.,2025-11-14 01:05:52,Delivered
NTF0000117,PTNM168,Push,PaymentDue,Illo quis rerum libero ea dolorum inventore tempora neque maiores.,2026-04-02 23:01:17,Delivered
NTF0000118,PTNS182,WhatsApp,FollowUp,Sint nam in repellendus et numquam in sunt.,2026-03-09 18:48:19,Delivered
NTF0000119,PTNS169,Email,AppointmentReminder,Cumque aliquam saepe non odit exercitationem corporis.,2026-03-03 07:39:34,Delivered
NTF0000120,PTNT033,Email,VaccinationDue,Sunt blanditiis molestias molestias accusantium delectus.,2025-11-17 23:31:36,Delivered
NTF0000121,PTNTJ395,Push,Promotion,Molestias quas eos ab quia explicabo laboriosam impedit est amet optio.,2025-11-26 11:56:42,Delivered
NTF0000122,PTNH240,SMS,PaymentDue,Autem explicabo dolore molestias quibusdam magnam suscipit ut a deserunt.,2025-10-15 02:09:18,Failed
NTF0000123,PTNT466,Email,AppointmentReminder,Perferendis facere nam laboriosam perspiciatis aut unde in.,2026-02-13 19:52:12,Failed
NTF0000124,PTNTN073,Push,Promotion,Molestias dolore incidunt nesciunt laborum ipsam neque molestias.,2026-01-22 21:42:25,Delivered
NTF0000125,PTNE120,SMS,AppointmentReminder,Iusto eum suscipit possimus sit ratione commodi tenetur facere cupiditate incidunt et.,2025-07-28 09:06:22,Delivered
NTF0000126,PTNH219,SMS,AppointmentReminder,Dolorem ad doloremque molestiae occaecati perspiciatis voluptas illum qui illum.,2025-10-07 07:22:29,Delivered
NTF0000127,PTNS264,SMS,VaccinationDue,Dolore iusto quia officiis hic quaerat delectus.,2025-09-02 16:10:21,Delivered
NTF0000128,PTNV364,SMS,PaymentDue,Est minus saepe optio autem beatae rem voluptates cumque adipisci error nisi neque.,2025-11-28 21:08:14,Delivered
NTF0000129,PTNCB359,Email,Promotion,Ipsa quisquam a unde maxime voluptatum est ullam facere excepturi atque quae voluptatem.,2026-01-08 08:28:18,Delivered
NTF0000130,PTNCB266,SMS,FollowUp,Ratione labore quos deleniti harum aut suscipit non ad nemo quasi.,2026-03-04 05:45:29,Delivered
NTF0000131,PTNV235,WhatsApp,ReportReady,Ipsa neque saepe nostrum ipsam eius pariatur eos veritatis eum.,2025-11-06 07:39:07,Pending
NTF0000132,PTNM186,SMS,VaccinationDue,Nihil aliquam eos facere aliquid eligendi aliquid soluta provident ullam eaque.,2025-07-16 23:42:06,Delivered
NTF0000133,PTNH457,SMS,FollowUp,Possimus dolorem cum repudiandae id voluptatum sequi magnam.,2025-09-21 08:52:50,Delivered
NTF0000134,PTNC298,Email,AppointmentReminder,Cupiditate amet sit quasi optio veritatis eligendi delectus.,2025-10-30 19:43:43,Delivered
NTF0000135,PTNCB332,Email,ReportReady,Atque voluptatibus hic hic magni incidunt aliquam in repellat.,2026-01-30 06:02:29,Delivered
NTF0000136,PTNE438,Push,FollowUp,Enim sequi impedit impedit deserunt ullam quia nam ratione.,2026-04-07 23:24:57,Delivered
NTF0000137,PTNTN391,WhatsApp,FollowUp,Facere explicabo nihil possimus eos inventore cumque adipisci officiis ea vitae nemo quidem.,2025-07-28 05:05:56,Delivered
NTF0000138,PTNE286,Email,VaccinationDue,Ex nam natus esse quis dolores debitis sapiente quidem quia itaque.,2025-06-30 01:26:27,Delivered
NTF0000139,PTNE402,Push,FollowUp,Repudiandae fugit temporibus adipisci id fugit cumque autem porro nam.,2025-08-02 05:25:11,Delivered
NTF0000140,PTNTN183,Email,PaymentDue,Veritatis similique fuga voluptatem corrupti a.,2025-10-16 19:33:27,Delivered
NTF0000141,PTNTJ045,Email,VaccinationDue,A officia ipsam nulla blanditiis quisquam odit beatae mollitia ad exercitationem.,2026-04-25 19:04:39,Delivered
NTF0000142,PTNCB417,Push,VaccinationDue,Ratione quisquam quos eaque optio cum nobis.,2025-12-25 02:26:28,Delivered
NTF0000143,PTNC020,Push,Promotion,Adipisci quo repellat dolorum inventore laboriosam ipsa.,2026-05-19 15:25:52,Delivered
NTF0000144,PTNS052,WhatsApp,ReportReady,Facere similique id eveniet eos est similique.,2026-04-12 18:48:52,Delivered
NTF0000145,PTNCB296,WhatsApp,AppointmentReminder,Deserunt delectus temporibus tenetur error asperiores facilis aliquam beatae.,2025-07-01 02:07:01,Delivered
NTF0000146,PTNTN134,Push,PaymentDue,Ipsam eum praesentium sapiente explicabo pariatur eaque nobis iusto illum harum a modi.,2025-10-27 09:16:00,Delivered
NTF0000147,PTNH361,Push,PaymentDue,Est omnis dolore doloremque harum sapiente perferendis maxime hic.,2025-10-07 10:44:26,Delivered
NTF0000148,PTNCB469,SMS,PaymentDue,Officia dolores voluptates repudiandae odit odio.,2025-10-01 08:20:21,Delivered
NTF0000149,PTNE190,Push,VaccinationDue,Molestias est eligendi dolor error ratione.,2025-12-17 16:40:44,Delivered
NTF0000150,PTNS285,WhatsApp,FollowUp,Impedit alias cupiditate magnam eveniet sed esse sit laudantium.,2025-09-04 23:30:21,Delivered
NTF0000151,PTNT436,WhatsApp,VaccinationDue,Accusantium reiciendis corrupti numquam fugit excepturi illo.,2025-09-14 11:24:48,Delivered
NTF0000152,PTNTN180,WhatsApp,FollowUp,Eius pariatur rem tenetur et odit aperiam sit rem natus.,2026-01-19 09:41:07,Delivered
NTF0000153,PTNM137,Push,Promotion,Ratione corporis molestiae et deserunt quod labore.,2026-03-02 00:35:11,Delivered
NTF0000154,PTNTN317,WhatsApp,Promotion,Aut libero odio nisi ea itaque quisquam dolor quis est.,2026-04-24 10:21:46,Delivered
NTF0000155,PTNTJ049,Push,Promotion,Impedit itaque distinctio consequuntur quos reiciendis eos aut necessitatibus rerum voluptatum inventore.,2026-02-17 15:23:07,Delivered
NTF0000156,PTNC445,Push,Promotion,Quasi ipsum quisquam facere molestias tenetur.,2026-01-29 22:45:56,Delivered
NTF0000157,PTNH210,WhatsApp,FollowUp,Illo dolor iste eveniet architecto nobis.,2025-10-18 09:37:23,Delivered
NTF0000158,PTNC155,SMS,ReportReady,Enim commodi minus rerum labore esse accusamus.,2025-09-13 23:54:00,Delivered
NTF0000159,PTNCB301,Email,FollowUp,Corrupti ex rem quidem ab saepe atque voluptates.,2025-10-05 19:05:55,Delivered
NTF0000160,PTNC498,WhatsApp,VaccinationDue,Enim ad vel tempora quis quod libero provident.,2025-11-12 11:31:14,Delivered
NTF0000161,PTNT186,WhatsApp,Promotion,Qui natus ducimus magni porro non non perferendis occaecati.,2026-01-17 15:47:34,Delivered
NTF0000162,PTNTN192,WhatsApp,VaccinationDue,Tenetur iusto pariatur aspernatur distinctio asperiores sed perspiciatis ipsam aperiam cumque suscipit enim.,2025-08-14 17:17:15,Failed
NTF0000163,PTNCB472,Email,ReportReady,Dignissimos sequi laborum expedita assumenda asperiores.,2025-08-13 05:44:26,Failed
NTF0000164,PTNT159,Email,FollowUp,Officia asperiores optio placeat praesentium voluptatem autem natus exercitationem mollitia repellat harum.,2026-02-05 18:39:36,Delivered
NTF0000165,PTNH078,Push,ReportReady,Soluta tempora delectus atque sed beatae voluptatum eligendi doloribus deserunt.,2026-03-23 08:06:16,Delivered
NTF0000166,PTNT478,Push,ReportReady,Doloremque ipsam ratione minus aut nesciunt in incidunt corporis.,2025-12-24 01:20:51,Delivered
NTF0000167,PTNS439,WhatsApp,Promotion,Mollitia in odit aliquid nam id magnam eaque.,2026-01-10 18:55:53,Delivered
NTF0000168,PTNCB153,SMS,AppointmentReminder,Nesciunt similique a ipsum culpa nemo qui tenetur perferendis magni tempore quasi doloribus.,2026-01-24 13:11:27,Delivered
NTF0000169,PTNM297,WhatsApp,ReportReady,Quisquam distinctio itaque rem tenetur neque.,2025-10-31 04:54:34,Delivered
NTF0000170,PTNTN201,WhatsApp,FollowUp,Debitis nemo pariatur iste veniam officiis temporibus vel animi non similique.,2026-03-10 11:09:43,Failed
NTF0000171,PTNS372,Push,AppointmentReminder,Adipisci eveniet quas pariatur quam magnam ratione facere nihil beatae quo impedit.,2025-12-29 16:47:39,Delivered
NTF0000172,PTNC276,WhatsApp,PaymentDue,Dolore sint aspernatur soluta in numquam asperiores ratione officia.,2025-09-20 22:24:44,Delivered
NTF0000173,PTNE063,SMS,FollowUp,Ex id voluptatibus molestiae error provident architecto quae.,2025-06-17 21:45:24,Delivered
NTF0000174,PTNE448,Push,ReportReady,Voluptatum laudantium tenetur ex nemo sapiente error quae in autem pariatur facere quisquam.,2025-10-27 06:11:09,Delivered
NTF0000175,PTNH220,SMS,Promotion,Esse doloribus totam inventore consequuntur ex mollitia voluptatem sint reiciendis eos nihil natus.,2025-08-29 13:23:09,Delivered
NTF0000176,PTNS388,WhatsApp,PaymentDue,Distinctio dignissimos illum ullam nihil molestias dolorem.,2026-05-24 04:03:33,Delivered
NTF0000177,PTNS276,Email,Promotion,Provident sequi esse doloremque cumque aperiam assumenda illo quis.,2026-01-12 06:16:00,Delivered
NTF0000178,PTNH408,Email,VaccinationDue,Asperiores mollitia quibusdam recusandae officiis eveniet.,2026-05-29 04:38:13,Delivered
NTF0000179,PTNV259,WhatsApp,FollowUp,Eaque distinctio quas nam nulla ducimus quas dolore error voluptate reprehenderit.,2025-08-22 17:59:56,Failed
NTF0000180,PTNT070,Push,PaymentDue,Soluta nostrum consectetur enim rerum assumenda rerum ullam error odio eveniet.,2025-09-29 03:07:06,Delivered
NTF0000181,PTNE046,Email,AppointmentReminder,Sapiente maiores cum dicta eligendi aliquid alias ea error mollitia labore.,2026-02-18 05:52:42,Delivered
NTF0000182,PTNT109,SMS,ReportReady,Magnam aut natus possimus libero aspernatur aperiam minima.,2025-09-10 20:56:43,Failed
NTF0000183,PTNE379,WhatsApp,PaymentDue,Odit explicabo expedita doloremque voluptas magni sed.,2025-07-30 02:39:36,Delivered
NTF0000184,PTNTN417,Email,FollowUp,Cumque omnis veritatis officiis eligendi et molestias nam ex corporis dolores amet.,2025-07-16 14:46:15,Delivered
NTF0000185,PTNV317,Push,VaccinationDue,Sapiente porro nostrum sapiente iusto consequuntur veritatis voluptates esse.,2026-01-18 16:35:01,Delivered
NTF0000186,PTNTJ437,Email,AppointmentReminder,Quasi qui cupiditate quas eveniet eaque minus.,2026-05-23 07:04:13,Pending
NTF0000187,PTNM090,Push,Promotion,Officia nobis maiores eligendi quasi nostrum nihil cumque eum non deserunt.,2025-08-08 21:11:26,Failed
